n,key,url,model_category,model_spec_areas,model_confidence,model_rationale,your_label,notes,summary,description,issuetype,components,labels,links
22,JAVA-4339,https://jira.mongodb.org/browse/JAVA-4339,driver_spec_nonconformance,,medium,touches spec area,not_relevant,,Evergreen: UnifiedCrudTest failures on latest,"{code}
com.mongodb.reactivestreams.client.unified.UnifiedCrudTest > shouldPassAllOutcomes[aggregate-out-readConcern: readConcern available with out stage] FAILED
[2021/10/08 20:45:46.616]     java.lang.AssertionError: The operation expects no error but an exception occurred
[2021/10/08 20:45:46.616]     Assertion Context:
[2021/10/08 20:45:46.616]     Completed Operation Context:
[2021/10/08 20:45:46.616]        Operation:
[2021/10/08 20:45:46.616]     {
[2021/10/08 20:45:46.616]       ""object"": ""collection_readConcern_available"",
[2021/10/08 20:45:46.616]       ""name"": ""aggregate"",
[2021/10/08 20:45:46.616]       ""arguments"": {
[2021/10/08 20:45:46.616]         ""pipeline"": [
[2021/10/08 20:45:46.616]           {
[2021/10/08 20:45:46.616]             ""$sort"": {
[2021/10/08 20:45:46.616]               ""x"": 1
[2021/10/08 20:45:46.616]             }
[2021/10/08 20:45:46.616]           },
[2021/10/08 20:45:46.616]           {
[2021/10/08 20:45:46.616]             ""$match"": {
[2021/10/08 20:45:46.616]               ""_id"": {
[2021/10/08 20:45:46.616]                 ""$gt"": 1
[2021/10/08 20:45:46.616]               }
[2021/10/08 20:45:46.616]             }
[2021/10/08 20:45:46.616]           },
[2021/10/08 20:45:46.616]           {
[2021/10/08 20:45:46.616]             ""$out"": ""other_test_collection""
[2021/10/08 20:45:46.616]           }
[2021/10/08 20:45:46.616]         ]
[2021/10/08 20:45:46.616]       }
[2021/10/08 20:45:46.616]     }
[2021/10/08 20:45:46.616]        Actual result:
[2021/10/08 20:45:46.616]     com.mongodb.MongoCommandException: Command failed with error 20 (IllegalOperation): 'PlanExecutor error during aggregation :: caused by :: failed while running command { internalRenameIfOptionsAndIndexesMatch: 1, from: ""crud-v2.tmp.agg_out.f356e94e-d6e1-48e0-9f16-9c6f6498368b"", to: ""crud-v2.other_test_collection"", collectionOptions: {}, indexes: [ { v: 2, key: { _id: 1 }, name: ""_id_"" } ], writeConcern: { w: ""majority"", wtimeout: 0, provenance: ""implicitDefault"" } } :: caused by :: Request sent without attaching database version' on server localhost:27017. The full response is {""ok"": 0.0, ""errmsg"": ""PlanExecutor error during aggregation :: caused by :: failed while running command { internalRenameIfOptionsAndIndexesMatch: 1, from: \""crud-v2.tmp.agg_out.f356e94e-d6e1-48e0-9f16-9c6f6498368b\"", to: \""crud-v2.other_test_collection\"", collectionOptions: {}, indexes: [ { v: 2, key: { _id: 1 }, name: \""_id_\"" } ], writeConcern: { w: \""majority\"", wtimeout: 0, provenance: \""implicitDefault\"" } } :: caused by :: Request sent without attaching database version"", ""code"": 20, ""codeName"": ""IllegalOperation"", ""$clusterTime"": {""clusterTime"": {""$timestamp"": {""t"": 1633725946, ""i"": 50}}, ""signature"": {""hash"": {""$binary"": {""base64"": ""XT5iQ3hoRX26inTWrEKaZBv66d4="", ""subType"": ""00""}}, ""keyId"": 7016795329693483017}}, ""operationTime"": {""$timestamp"": {""t"": 1633725946, ""i"": 49}}}
[2021/10/08 20:45:46.616]        Operation index: 0
{code}",Bug,Test Failure,build-baron,Depends:SERVER-59924
23,CXX-1540,https://jira.mongodb.org/browse/CXX-1540,not_relevant,,high,CMake GNUInstallDirs for installation paths; build infrastructure change.,not_relevant,,Use CMake GNUInstallDirs to name installation paths,Per discussion here: https://github.com/mongodb/mongo-cxx-driver/pull/612#issuecomment-376990336,Improvement,Build,,Related:CDRIVER-2580
24,JAVA-3625,https://jira.mongodb.org/browse/JAVA-3625,driver_spec_nonconformance,,low,mentions spec or yaml in description,test_infrastructure,,Update disabled change stream tests ,Change stream tests were disabled in JAVA-3624 because of failures in the latest server variant. SPEC-1505 will determine if these tests should be re-enabled or removed.,Improvement,Test Coverage,,Gantt End to Start:SPEC-1505
25,CDRIVER-2017,https://jira.mongodb.org/browse/CDRIVER-2017,avoidable_by_spec_conformance,,medium,"Possible spec-related bug, needs deeper analysis",not_relevant,,"Inconsistent error reporting for insert, update, and replace BSON validation","The functions that append a write statement to the bulk (e.g. [{{mongoc_bulk_operation_insert()}}|https://github.com/mongodb/mongo-c-driver/blob/1.6.0/src/mongoc/mongoc-bulk-operation.c#L297], [{{mongoc_bulk_operation_replace_one()}}|https://github.com/mongodb/mongo-c-driver/blob/1.6.0/src/mongoc/mongoc-bulk-operation.c#L373]) inconsistently handle error reporting.

If we look at [{{mongoc_bulk_operation_insert()}}|https://github.com/mongodb/mongo-c-driver/blob/1.6.0/src/mongoc/mongoc-bulk-operation.c#L297], {{_mongoc_validate_new_document()}} is only called if a document is being appended to a newly initialized insert command, and even then the validation function's boolean return value is ignored and a potentially invalid document is still added to the command. Validation is never performed at all before appending to an existing insert command (i.e. {{_mongoc_write_command_insert_append()}}).

[{{mongoc_bulk_operation_replace_one()}}|https://github.com/mongodb/mongo-c-driver/blob/1.6.0/src/mongoc/mongoc-bulk-operation.c#L373] delegates to {{_mongoc_bulk_operation_replace_one_with_opts()}}, which starts with the following logic: 

{code}
if (bulk->result.error.domain) {
   /* already failed e.g. a bad call to mongoc_bulk_operation_insert */
   RETURN (true);
}
{code}

This logic prevents a later {{_mongoc_validate_replace()}} call from overwriting a previous error, which is good, but it effectively makes {{mongoc_bulk_operation_replace_one()}} a NOP with no way to indicate that to the user. It would be better to return false if there is a pre-existing error. Also, the insert and update paths are missing equivalent logic (i.e. NOP on a pre-existing error) entirely, which means they may overwrite a previous error.",Bug,libmongoc,,Related:CDRIVER-2018|Related:HHVM-227|Related:PHPC-712|Related:CDRIVER-1341
26,CSHARP-3919,https://jira.mongodb.org/browse/CSHARP-3919,cross_driver_inconsistency,,low,mentions other driver,not_relevant,,Drivers should retry operations if connection handshake fails,"This ticket was split from DRIVERS-746, please see that ticket for a detailed description. ",Bug,,size-small,Issue split:DRIVERS-746
27,CSHARP-1016,https://jira.mongodb.org/browse/CSHARP-1016,not_relevant,,high,Packaging/build/doc/internal refactor,not_relevant,,LINQ driver does not support nested paging (i.e. take/skip).,"I am hosting a RESTful Web API service using OData v4.  When attempting to perform the following query:

https://127.0.0.1:444/QA/main/Graphs/Items?$expand=Attributes&$skip=672

we see the following error:

""Skip and Take may only be used in conjunction with each other and cannot be separated by other operations.""

The previously specified OData query results in paging on both the entity set for 'Items' and the contained entity set 'Attributes' because we have a page size set of 672 also, which results in a take being applied to the expression over the Attributes entity set.

For example, here is the expression that fails:

+		_expression	{value(MongoDB.Driver.Linq.MongoQueryable`1[SE.OIP.DFL.Domain.Entities.Graphs.Item]).Where(o => ((o.Tenant == value(SE.OIP.DFL.Data.Repository.Mongo.Graphs.ItemsMongoRepository).tenant) AndAlso (o.Storage == value(SE.OIP.DFL.Data.Repository.Mongo.Graphs.ItemsMongoRepository).storage))).OfType().OrderBy($it => $it.InstanceId).Skip(value(System.Web.OData.Query.Expressions.LinqParameterContainer+TypedLinqParameterContainer`1[System.Int32]).TypedProperty).Select(Param_0 => new SelectAllAndExpand`1() {ModelID = ""1ca23847-7ec1-49d4-898f-49e8dfe03a24"", Instance = Param_0, Container = new CollectionExpandedProperty`1() {Name = ""Attributes"", Collection = Param_0.Attributes.Take(value(System.Web.OData.Query.Expressions.LinqParameterContainer+TypedLinqParameterContainer`1[System.Int32]).TypedProperty).Select(Param_1 => new SelectAll`1() {ModelID = ""1ca23847-7ec1-49d4-898f-49e8dfe03a24"", Instance = Param_1}), PageSize = 672}})}	System.Linq.Expressions.Expression {System.Linq.Expressions.MethodCallExpressionN}

This fails when it attempts to translate 'take' and the previous expression is 'select', resulting in the exception.",Improvement,LINQ,,
28,RUBY-1411,https://jira.mongodb.org/browse/RUBY-1411,not_relevant,,medium,No clear specification or cross-driver conformance signal.,not_relevant,,Bson::Document#fetch does not work with symbols,"When using #fetch method to retrieve a value of a Bson::Document with a symbol, an error is raised telling that the key was not found, but when using #[] with symbol it works.
{code:java}
irb(main):041:0> doc
=> {""name""=>""Joe"", ""age""=>33}
irb(main):042:0> doc[:name]
=> ""Joe""
irb(main):043:0> doc.fetch('name')
=> ""Joe""
irb(main):044:0> doc.fetch(:name)
Traceback (most recent call last):
 3: from /Users/jmolina/.rbenv/versions/2.5.1/bin/irb:11:in `<main>'
 2: from (irb):44
 1: from (irb):44:in `fetch'
KeyError (key not found: :name){code}
Because of this restriction, we cannot use #fetch in our classes to protect us from having nil values, instead we will have to check every key and return an error if it does not exists.",Bug,BSON,,Problem/Incident:RUBY-1677
29,CSHARP-2506,https://jira.mongodb.org/browse/CSHARP-2506,not_relevant,,low,No spec conformance or cross-driver issue detected.,not_relevant,,Reduce allocations in BsonClassMapSerializer.SerializeClass,"BsonClassMapSerializer.SerializeClass ([https://github.com/mongodb/mongo-csharp-driver/blob/dc2dbb5ff06fdea80b44a8c2295e542f166ccb16/src/MongoDB.Bson/Serialization/Serializers/BsonClassMapSerializer.cs#L579])

calls .ToList() unconditionally like this:
{code:java}
var remainingMemberMaps = _classMap.AllMemberMaps.ToList();{code}
This call can easily be avoided by moving the if check at [https://github.com/mongodb/mongo-csharp-driver/blob/dc2dbb5ff06fdea80b44a8c2295e542f166ccb16/src/MongoDB.Bson/Serialization/Serializers/BsonClassMapSerializer.cs#L584] into the loop at [https://github.com/mongodb/mongo-csharp-driver/blob/dc2dbb5ff06fdea80b44a8c2295e542f166ccb16/src/MongoDB.Bson/Serialization/Serializers/BsonClassMapSerializer.cs#L602]

This helps to reduce allocations which can get substantial as shown by the following profiler output of the serialization of 2m+ complex documents:

!image-2019-02-06-14-11-21-179.png!",Improvement,Serialization,devexp-product|performance,
30,RUBY-3037,https://jira.mongodb.org/browse/RUBY-3037,cross_driver_inconsistency,index-management,high,References another driver,not_relevant,,Add index option wildcard_projection,"Mongo Ruby Driver is missing index alias option ""wildcard_projection"" for ""wildcardProjection""

Refer to: mongodb.com/docs/manual/core/index-wildcard/

Related to https://jira.mongodb.org/browse/MONGOID-5388",Improvement,,,
31,NODE-410,https://jira.mongodb.org/browse/NODE-410,not_relevant,,low,Insufficient detail to classify.,not_relevant,,'error' event is not triggered on pipe error,"When doing a pipe on cursor with an error in query, there is no way to know about this error, even if you are subscribed to 'error' event on cursor. Instead, a runtime error is thrown with the following stacktrace:

{noformat}
Error: Cannot switch to old mode now.
    at emitDataEvents (_stream_readable.js:730:11)
    at Readable.pause (_stream_readable.js:721:3)
    at Cursor.destroy (/home/weekens/workspace/saymon/backend/server/node_modules/mongodb/lib/cursor.js:697:8)
    at /home/weekens/workspace/saymon/backend/server/node_modules/mongodb/lib/cursor.js:735:31
    at handleCallback (/home/weekens/workspace/saymon/backend/server/node_modules/mongodb/lib/utils.js:95:12)
    at /home/weekens/workspace/saymon/backend/server/node_modules/mongodb/lib/cursor.js:419:20
    at handleCallback (/home/weekens/workspace/saymon/backend/server/node_modules/mongodb/node_modules/mongodb-core/lib/cursor.js:234:5)
    at /home/weekens/workspace/saymon/backend/server/node_modules/mongodb/node_modules/mongodb-core/lib/cursor.js:535:22
    at queryCallback (/home/weekens/workspace/saymon/backend/server/node_modules/mongodb/node_modules/mongodb-core/lib/cursor.js:170:14)
    at b (domain.js:183:18)
{noformat}

This also concerns any error, that can happen during diver<->DB communication. Query error is only for the sake of simplicity.

Sample code to reproduce the problem:

{code:javascript}
var cursor = mongoDb.collection('myCollection').find({
  timestamp: { $ltx: request.params.maxTimestamp } // Error in query.
});

cursor.on('error', function(err) {
  log.error('DB query failed:' + err);

  next(err);
});

cursor.pipe(response); // Runtime error is thrown, 'error' event is not triggered.
{code}

Wasn't tested on Node v0.12, but _stream_readable.js code in Node v0.12 contains the same error condition, so, the problem is likely to reproduce in Node v0.12 as well.",Bug,,external-user,
32,JAVA-3530,https://jira.mongodb.org/browse/JAVA-3530,driver_spec_nonconformance,bson,low,Spec area: bson.,not_relevant,,Getting started page should emphasis that codec registry order is important,"The example in [Creating a Custom CodecRegistry|http://mongodb.github.io/mongo-java-driver/3.11/driver/getting-started/quick-start-pojo/#creating-a-custom-codecregistry] doesn't highlight that the order of the registries is important, although the [Javadoc|https://api.mongodb.com/java/3.2/?org/bson/codecs/configuration/CodecRegistries.html] does.

I suggest we add a little note under the example to bring attention to this.",Improvement,,,
33,PERL-528,https://jira.mongodb.org/browse/PERL-528,driver_spec_nonconformance,bson,medium,Regex flag handling.,driver_spec_nonconformance,,Add support for serializing 'u' and 'l' regex flags,"Native perl regexes support 'u' and 'l', but the driver will drop them on serialization.",Bug,Perl driver,,
34,RUBY-1032,https://jira.mongodb.org/browse/RUBY-1032,driver_spec_nonconformance,,low,Insufficient detail for classification.,not_relevant,,BSON::Document doesn't assign or merge! quite like a Hash,"I've found this bug through an issue I'm having with Mongoid, so I'm not 100% sure if this is an issue with BSON, or that Mongoid is using it wrong.

Consider the following code:
{code:example.rb}
attributes = BSON::Document.new
attributes[""test""] = nil
(attributes[""test""] ||= {}).merge!({""test"" => ""test})
# You'd expect attributes[""test""] to be {""test"" => ""test""} 
# here, but it's actually {}
{code}

The last line is found in Mongoid here: https://github.com/mongodb/mongoid/blob/master/lib/mongoid/attributes.rb#L179 and (I think) is the result is causing issues like this: http://stackoverflow.com/questions/29899935/mongoid-localized-field-not-being-set-in-first-form-submission

It works fine if you make {{attributes}} a Hash instead, so I presume it's something the way {{||=}} or {{merge!}} are implemented in BSON::Document?

Writing my example differently, e.g.
{code:example.rb}
attributes = BSON::Document.new
attributes[""test""] = nil
attributes[""test""] ||= {}
attributes[""test""].merge!({""test"" => ""test})
{code}

also works as expected.",Bug,BSON,,Related:MONGOID-4054
35,CSHARP-3757,https://jira.mongodb.org/browse/CSHARP-3757,avoidable_by_spec_conformance,retryable-reads|retryable-writes,high,"Direct retries to another mongos; DRIVERS-1571, retryability spec.",not_relevant,,Direct read/write retries to another mongos if possible,"{html}
  <div id=""script-target-wrapper"">
    <br>
    <b>DRIVERS Ticket Description</b>
    <div id=""lang-script-target"">
      <!-- This block of HTML and the script in it auto-populate the      DRIVERS ticket description on page load. -->
      Script Target - If you can read this text, the script has failed
      <script>
        $.get('https://jira.mongodb.org/browse/DRIVERS-1571',
          function(data) {
            var description = $(data).find(""#description-val"");
            $(""#lang-script-target"").html(description);
        });
      </script>
    </div>
  </div>
{html}",Improvement,Retryability,,Gantt End to End:CSHARP-4958|Issue split:DRIVERS-1571
36,JAVA-5130,https://jira.mongodb.org/browse/JAVA-5130,not_relevant,,high,"Test infrastructure for Atlas cluster setup, not spec-related.",not_relevant,,"Atlas cluster setup script should create a unique cluster per-invocation, not per commit","This ticket was split from {{DRIVERS-2710}}, please see that ticket for a detailed description. ",Improvement,,,Issue split:DRIVERS-2710
